user_id;user_answer;correct_answer;time_taken;condition;mat_size;
0;Big;Big;0.8477118015289307;Taille;25;
1;Big;Big;0.8003668785095215;Taille;25;
2;Small;Small;0.944467306137085;Taille;25;
3;Big;Big;0.6705868244171143;Taille;25;
4;Convexity_Big;Convexity_Big;0.9368350505828857;Courbure;16;
5;Convexity_Big;Convexity_Big;0.9274280071258545;Courbure;16;
6;Convexity_Big;Convexity_Big;0.6859180927276611;Courbure;16;
7;Convexity_Big;Convexity_Big;0.760178804397583;Courbure;16;
8;Convexity_Big;Convexity_Big;1.6269042491912842;CourbureTaille;16;
9;Convexity_Small;Convexity_Small;2.9399187564849854;CourbureTaille;16;
10;Concavity_Small;Concavity_Small;3.985469102859497;CourbureTaille;16;
11;Convexity_Small;Convexity_Small;2.6037487983703613;CourbureTaille;16;
12;Convexity_Big;Convexity_Big;0.8768332004547119;Courbure;36;
13;Concavity_Big;Concavity_Big;0.8861329555511475;Courbure;36;
14;Concavity_Big;Concavity_Big;0.8500490188598633;Courbure;36;
15;Convexity_Big;Convexity_Big;1.0668401718139648;Courbure;36;
16;Convexity_Big;Convexity_Big;2.6190550327301025;CourbureTaille;25;
17;Concavity_Big;Concavity_Big;5.511067152023315;CourbureTaille;25;
18;Concavity_Small;Concavity_Small;3.147284984588623;CourbureTaille;25;
19;Convexity_Small;Convexity_Small;5.7293860912323;CourbureTaille;25;
20;Convexity_Big;Convexity_Big;5.159163236618042;CourbureTaille;36;
21;Convexity_Small;Convexity_Small;3.6101629734039307;CourbureTaille;36;
22;Concavity_Big;Concavity_Big;4.224228858947754;CourbureTaille;36;
23;Concavity_Small;Concavity_Small;2.3726141452789307;CourbureTaille;36;
24;Small;Small;0.891624927520752;Taille;16;
25;Small;Small;0.9866690635681152;Taille;16;
26;Small;Small;0.5807249546051025;Taille;16;
27;Small;Small;0.5868618488311768;Taille;16;
28;Convexity_Big;Convexity_Big;0.6129188537597656;Courbure;25;
29;Convexity_Big;Convexity_Big;0.5740678310394287;Courbure;25;
30;Convexity_Big;Concavity_Big;0.7347238063812256;Courbure;25;
31;Concavity_Big;Concavity_Big;1.387718915939331;Courbure;25;
32;Big;Big;0.7082951068878174;Taille;36;
33;Small;Small;0.5755720138549805;Taille;36;
34;Big;Big;0.912898063659668;Taille;36;
35;Small;Small;0.6903579235076904;Taille;36;
